Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
Sahan Arachchige*,Sahan Arachchige,13/05/1996,2023-,5,3,89,0,57*,29.67,1,0,28.00,4.00,1/18,SRL,O
M A R Samarasekera,Athula Samarasekera,04/08/1961,1983-1994,39,39,844,0,76*,22.81,0,0,-,5.17,0/11,SRL,O
D P Samaraweera,Dulip Samaraweera,12/02/1972,1993-1994,5,4,91,0,49*,22.75,0,0,-,-,,SRL,O
T T Samaraweera,Thilan Samaraweera,22/09/1976,1998-2011,53,42,862,2,105,27.81,11,0,49.27,4.63,3/34,SRL,O
S Samarawickrama*,Sadeera Samarawickrama,30/08/1995,2017-,50,45,1261,1,108*,31.53,0,0,-,-,,SRL,O
P A D L R Sandakan,Lakshan Sandakan,10/06/1991,2016-2021,31,19,64,0,16,5.33,27,1,57.00,6.21,4/52,SRL,O
K C Sangakkara,Kumar Sangakkara,27/10/1977,2000-2015,397,373,13975,25,169*,41.97,0,0,-,-,,SRL,O
C P Senanayake,Charith Senanayake,15/12/1962,1990-1991,7,7,126,0,27*,18.00,0,0,-,-,,SRL,O
S M S M Senanayake,Sachithra Senanayake,09/02/1985,2012-2015,49,33,290,0,42*,13.18,53,1,35.36,4.77,4/13,SRL,O
D Shanaka*,Dasun Shanaka,09/09/1991,2016-,71,63,1299,2,108,22.40,27,1,37.00,5.68,5/43,SRL,O
K J Silva,Kelaniyage Silva,02/06/1973,1995-1995,1,1,1,0,1,0.00,0,0,-,6.88,0/55,SRL,O
L P C Silva,Chamara Silva,14/12/1979,1999-2011,75,62,1587,1,107,28.85,1,0,33.00,4.71,1/21,SRL,O
S A R Silva,Amal Silva,12/12/1960,1984-1985,20,20,441,0,85*,22.05,0,0,-,-,,SRL,O
T A M Siriwardana,Milinda Siriwardana,04/12/1985,2015-2019,27,24,516,0,66*,22.43,9,0,60.78,5.46,2/27,SRL,O
A P B Tennekoon,Anura Tennekoon,29/10/1946,1975-1979,4,4,137,0,59*,34.25,0,0,-,-,,SRL,O
W U Tharanga,Upul Tharanga,02/02/1985,2005-2019,234,222,6941,15,174,33.86,0,0,-,-,,SRL,O
M M Theekshana*,Maheesh Theekshana,01/08/2000,2021-,52,29,313,0,38,17.39,76,7,25.53,4.62,4/25,SRL,O
H D R L Thirimanne,Lahiru Thirimanne,08/09/1989,2010-2019,127,106,3194,4,139,34.72,3,0,31.33,5.42,2/36,SRL,O
T Thushara,Thilan Thushara,01/03/1981,2008-2010,38,27,392,0,54,18.67,50,1,27.86,4.99,5/47,SRL,O
