Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
B Reddy,Bharat Reddy,12/11/1954,1978-1981,3,2,11,0,8,0.00,0,0,-,-,,IND,O
Rinku Singh*,Rinku Singh,12/10/1997,2023-,2,2,55,0,38*,27.50,1,0,2.00,2.00,1/2,IND,O
W P Saha,Wriddhiman Saha,24/10/1984,2010-2014,9,5,41,0,16*,13.67,0,0,-,-,,IND,O
B S Sai Sudharsan*,Sai Sudharsan,15/10/2001,2023-,3,3,127,0,62*,63.50,0,0,-,16.00,0/8,IND,O
N A Saini,Navdeep Saini,23/11/1992,2019-2021,8,5,107,0,45*,53.50,6,0,80.17,6.87,2/58,IND,O
C Sakariya,Chetan Sakariya,28/02/1998,2021-2021,1,1,0,0,0,0.00,2,0,17.00,4.25,2/34,IND,O
A M Salvi,Aavishkar Salvi,20/10/1981,2003-2003,4,3,4,0,4,2.00,4,0,30.00,4.19,2/15,IND,O
S V Samson*,Sanju Samson,11/11/1994,2021-,16,14,510,1,108*,56.67,0,0,-,-,,IND,O
B S Sandhu,Balwinder Sandhu,03/08/1956,1982-1984,22,7,51,0,16,12.75,16,0,47.69,4.12,3/27,IND,O
R L Sanghvi,Rahul Sanghvi,03/09/1974,1998-1998,10,2,8,0,8*,4.00,10,0,39.90,4.81,3/29,IND,O
Sarandeep Singh,Sarandeep Singh,21/10/1979,2002-2003,5,4,47,0,19*,15.67,3,0,60.00,4.19,2/34,IND,O
V Sehwag,Virender Sehwag,20/10/1978,1999-2013,241,235,7995,15,219*,35.38,94,1,39.76,5.23,4/6,IND,O
T A P Sekar,Thirumalai Sekar,28/03/1956,1983-1985,4,0,0,0,0*,0.00,5,0,25.60,4.92,3/23,IND,O
K R Sen*,Kuldeep Sen,22/10/1996,2022-,1,1,2,0,2,0.00,2,0,18.50,7.40,2/37,IND,O
S Shahbaz Ahmed*,Shahbaz Ahmed,11/12/1994,2022-,3,1,0,0,0*,0.00,3,0,41.67,4.81,2/32,IND,O
V Shankar,Vijay Shankar,26/01/1991,2019-2019,12,8,223,0,46*,31.86,4,0,52.50,5.41,2/15,IND,O
A K Sharma,Ajay Sharma,03/04/1964,1988-1993,31,27,424,0,59,20.19,15,0,58.33,4.61,3/41,IND,O
C Sharma,Chetan Sharma,03/01/1966,1983-1994,65,35,456,1,101,24.00,67,0,34.87,4.94,3/22,IND,O
G Sharma,Gopal Sharma,03/08/1960,1985-1987,11,2,11,0,7*,5.50,10,0,36.10,4.46,3/29,IND,O
I Sharma,Ishant Sharma,02/09/1988,2007-2016,80,28,72,0,13*,4.80,115,6,30.98,5.73,4/34,IND,O
K V Sharma,Karn Sharma,23/10/1987,2014-2014,2,0,0,0,0*,0.00,0,0,-,6.58,0/61,IND,O
M M Sharma,Mohit Sharma,18/09/1988,2013-2015,26,9,31,0,11*,7.75,31,1,32.90,5.46,4/22,IND,O
P H Sharma,Parthasarathy Sharma,05/01/1948,1976-1976,2,2,20,0,14*,10.00,0,0,-,-,,IND,O
R Sharma,Rahul Sharma,30/11/1986,2011-2012,4,1,1,0,1*,1.00,6,0,29.50,5.16,3/43,IND,O
R G Sharma*,Rohit Sharma,30/04/1987,2007-,273,265,11168,32,264*,48.77,9,0,59.22,5.24,2/27,IND,O
S K Sharma,Sanjeev Sharma,25/08/1965,1988-1990,23,12,80,0,28*,10.00,22,1,36.95,4.98,5/26,IND,O
R J Shastri,Ravi Shastri,27/05/1962,1981-1992,150,128,3108,4,109*,29.05,129,3,36.05,4.22,5/15,IND,O
