Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
N A Saini,Navdeep Saini,23/11/1992,2019-2021,11,3,12,0,11,0.00,13,0,18.08,7.16,3/17,IND,W
C Sakariya,Chetan Sakariya,28/02/1998,2021-2021,2,1,5,0,5,0.00,1,0,34.00,9.27,1/34,IND,W
S V Samson*,Sanju Samson,11/11/1994,2015-,42,38,861,3,111*,25.32,0,0,-,-,,IND,W
Sandeep Sharma,Sandeep Sharma,18/05/1993,2015-2015,2,1,1,0,1,0.00,1,0,73.00,10.43,1/39,IND,W
S Sandeep Warrier,Sandeep Warrier,04/04/1991,2021-2021,1,0,0,0,0*,0.00,0,0,-,7.67,0/23,IND,W
V Sehwag,Virender Sehwag,20/10/1978,2006-2012,19,18,394,0,68*,21.89,0,0,-,20.00,0/20,IND,W
S Shahbaz Ahmed*,Shahbaz Ahmed,11/12/1994,2023-,2,0,0,0,0*,0.00,2,0,20.50,7.69,1/13,IND,W
V Shankar,Vijay Shankar,26/01/1991,2018-2019,9,4,101,0,43*,25.25,5,0,38.20,9.10,2/32,IND,W
I Sharma,Ishant Sharma,02/09/1988,2008-2013,14,3,8,0,5,8.00,8,0,50.00,8.63,2/34,IND,W
J M Sharma*,Jitesh Sharma,22/10/1993,2023-,9,7,100,0,35*,14.29,0,0,-,-,,IND,W
K V Sharma,Karn Sharma,23/10/1987,2014-2014,1,0,0,0,0*,0.00,1,0,28.00,7.00,1/28,IND,W
M M Sharma,Mohit Sharma,18/09/1988,2014-2015,8,2,3,0,3,0.00,6,0,30.83,8.04,2/28,IND,W
R Sharma,Rahul Sharma,30/11/1986,2012-2012,2,0,0,0,0*,0.00,3,0,18.67,7.64,2/29,IND,W
R G Sharma*,Rohit Sharma,30/04/1987,2007-,159,151,4231,5,121,32.05,1,0,113.00,9.97,1/22,IND,W
P P Shaw,Prithvi Shaw,09/11/1999,2021-2021,1,1,0,0,0*,0.00,0,0,-,-,,IND,W
Shivam Mavi*,Shivam Mavi,26/11/1998,2023-,6,2,28,0,26*,14.00,7,1,17.57,8.79,4/22,IND,W
Shubman Gill*,Shubman Gill,08/09/1999,2023-,21,21,578,1,126,30.42,0,0,-,-,,IND,W
R P Singh,R P Singh,06/12/1985,2007-2009,10,2,3,0,2,0.00,15,1,15.00,6.82,4/13,IND,W
B B Sran,Barinder Sran,10/12/1992,2016-2016,2,0,0,0,0*,0.00,6,1,6.83,5.13,4/10,IND,W
S Sreesanth,Sreesanth,06/02/1983,2006-2008,10,3,20,0,19,20.00,7,0,41.14,8.47,2/12,IND,W
S R Tendulkar,Sachin Tendulkar,24/04/1973,2006-2006,1,1,10,0,10*,10.00,1,0,12.00,4.80,1/12,IND,W
S N Thakur*,Shardul Thakur,16/10/1991,2018-2022,25,6,69,0,22,23.00,33,1,23.39,9.15,4/27,IND,W
N T T Tilak Varma*,Tilak Varma,08/11/2002,2023-,25,24,749,2,120,49.93,2,0,13.00,5.20,1/5,IND,W
M K Tiwary,Manoj Tiwary,14/11/1985,2011-2012,3,1,15,0,15*,15.00,0,0,-,-,,IND,W
R A Tripathi*,Rahul Tripathi,02/03/1991,2023-,5,5,97,0,44*,19.40,0,0,-,-,,IND,W
S Tyagi,Sudeep Tyagi,19/09/1987,2009-2009,1,0,0,0,0*,0.00,0,0,-,10.50,0/21,IND,W
Umran Malik*,Umran Malik,22/11/1989,2022-,8,2,5,0,4,0.00,11,0,22.09,10.49,3/48,IND,W
J D Unadkat*,Jaydev Unadkat,18/10/1991,2016-2018,10,0,0,0,0*,0.00,14,0,21.50,8.68,3/38,IND,W
R V Uthappa,Robin Uthappa,11/11/1985,2007-2015,13,12,249,0,50*,24.90,0,0,-,-,,IND,W
C V Varun*,Varun Chakravarthy,29/08/1991,2021-,18,3,1,0,1,0.50,33,2,14.58,7.02,5/17,IND,W
M Vijay,Murali Vijay,01/04/1984,2010-2015,9,9,169,0,48*,18.78,0,0,-,4.50,0/9,IND,W
R Vinay Kumar,Vinay Kumar,12/02/1984,2010-2013,9,1,2,0,2,0.00,10,0,24.70,7.84,3/24,IND,W
Washington Sundar*,Washington Sundar,05/10/1999,2017-,54,22,193,0,50*,13.79,48,0,23.50,6.94,3/15,IND,W
M P Yadav*,Mayank Yadav,17/06/2002,2024-,3,1,1,0,1,0.00,4,0,20.75,6.92,2/32,IND,W
S A Yadav*,Suryakumar Yadav,14/09/1990,2021-,83,79,2598,4,117*,38.21,2,0,2.50,5.00,2/5,IND,W
U T Yadav*,Umesh Yadav,25/10/1987,2012-,9,2,22,0,20,22.00,12,0,23.33,9.33,2/19,IND,W
Yuvraj Singh,Yuvraj Singh,12/12/1981,2007-2017,58,51,1177,0,77,28.02,28,0,17.82,7.06,3/17,IND,W
Total Players = 119,,,,,,,,,,,,,,,IND,W
