Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
T G Shaw,Timothy Shaw,05/07/1959,1991-1994,9,6,26,0,17,13.00,9,0,33.11,3.55,2/19,SAF,O
M Shezi,Mthokozisi Shezi,09/09/1987,2014-2014,1,0,0,0,0*,0.00,1,0,8.00,1.33,1/8,SAF,O
E O Simons,Eric Simons,09/03/1962,1994-1995,23,18,217,0,24*,15.50,33,1,24.55,4.01,4/42,SAF,O
L Sipamla,Lutho Sipamla,12/05/1998,2020-2021,5,2,14,0,10,0.00,2,0,86.00,5.67,1/40,SAF,O
G C Smith,Graeme Smith,01/02/1981,2002-2013,196,193,6989,10,141*,38.19,18,0,52.83,5.56,3/30,SAF,O
J F Smith*,Jason Smith,11/10/1994,2024-,3,3,132,0,91*,44.00,0,0,-,5.80,0/29,SAF,O
J T Smuts,JJ Smuts,21/09/1988,2020-2021,6,5,180,0,84*,45.00,4,0,41.00,5.47,2/42,SAF,O
R P Snell,Richard Snell,12/09/1968,1991-1996,42,28,322,0,63*,16.10,44,3,35.77,4.51,5/40,SAF,O
E L R Stewart,Errol Stewart,30/07/1969,1993-2002,6,6,61,0,23,15.25,0,0,-,-,,SAF,O
D W Steyn,Dale Steyn,27/06/1983,2006-2019,123,49,361,0,60*,9.76,194,7,26.01,4.89,6/39,SAF,O
P J R Steyn,Phillipus Steyn,30/07/1967,1995-1995,1,1,4,0,4*,4.00,0,0,-,-,,SAF,O
P C Strydom,Pieter Strydom,10/06/1969,2000-2000,10,8,48,0,34*,9.60,2,0,103.00,4.90,1/18,SAF,O
T Stubbs*,Tristan Stubbs,14/08/2000,2023-,9,9,249,1,112,35.57,0,0,-,7.50,0/15,SAF,O
P L Symcox,Pat Symcox,14/04/1960,1993-1999,80,54,694,0,61*,16.93,72,1,38.36,4.15,4/28,SAF,O
R Telemachus,Roger Telemachus,27/03/1973,1998-2006,37,15,73,0,29*,6.08,56,1,27.95,4.90,4/43,SAF,O
D J Terbrugge,David Terbrugge,31/01/1977,2000-2000,4,2,5,0,5*,5.00,4,1,26.25,5.00,4/20,SAF,O
J Theron*,Rusty Theron,24/07/1985,2010-,4,1,5,0,5*,5.00,12,1,14.42,5.35,5/44,SAF,O
T Tshabalala,Thandi Tshabalala,19/11/1984,2007-2007,4,1,2,0,2,0.00,3,0,50.33,6.04,1/30,SAF,O
