Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
K W Richardson*,Kane Richardson,12/02/1991,2014-,36,7,17,0,9*,4.25,45,1,23.53,8.40,4/30,AUS,W
B J Rohrer,Ben Rohrer,26/03/1981,2013-2013,1,1,16,0,16*,16.00,0,0,-,-,,AUS,W
L Ronchi,Luke Ronchi,23/04/1981,2008-2009,3,2,47,0,36*,23.50,0,0,-,-,,AUS,W
D R Sams*,Daniel Sams,27/10/1992,2020-,10,7,106,0,41*,26.50,7,0,43.57,10.17,2/33,AUS,W
T Sangha*,Tanveer Sangha,26/11/2001,2023-,7,1,2,0,2,0.00,10,1,24.90,8.89,4/31,AUS,W
D J M Short,D'Arcy Short,09/08/1990,2018-2020,23,23,642,0,76*,30.57,3,0,50.33,7.95,1/13,AUS,W
M W Short*,Matthew Short,08/11/1995,2023-,14,13,293,0,66*,22.54,7,1,13.00,11.38,5/22,AUS,W
P M Siddle,Peter Siddle,25/11/1984,2009-2010,2,1,1,0,1,0.00,3,0,19.33,7.25,2/24,AUS,W
S P D Smith*,Steve Smith,02/06/1989,2010-,67,55,1094,0,90*,25.44,17,0,22.18,7.77,3/20,AUS,W
B Stanlake,Billy Stanlake,04/11/1994,2017-2019,19,2,9,0,7*,9.00,27,1,20.15,7.77,4/8,AUS,W
M A Starc*,Mitchell Starc,30/01/1990,2012-,65,21,98,0,14*,9.80,79,1,23.86,7.76,4/20,AUS,W
M P Stoinis*,Marcus Stoinis,16/08/1989,2015-,74,61,1245,0,78*,31.92,45,1,24.02,8.65,4/23,AUS,W
M J Swepson*,Mitchell Swepson,04/10/1993,2018-,8,5,32,0,14,0.00,11,0,18.55,8.16,3/12,AUS,W
A Symonds,Andrew Symonds,09/06/1975,2005-2009,14,11,337,0,85,48.14,8,0,34.63,8.98,2/14,AUS,W
S W Tait,Shaun Tait,22/02/1983,2007-2016,21,6,11,0,6*,2.75,28,0,21.04,7.39,3/13,AUS,W
A J Turner*,Ashton Turner,25/01/1993,2017-,19,14,110,0,24*,12.22,4,0,20.50,6.31,2/12,AUS,W
A J Tye,Andrew Tye,12/12/1986,2016-2021,32,15,83,0,20*,10.38,47,1,21.21,8.76,4/23,AUS,W
A C Voges,Adam Voges,04/10/1979,2007-2013,7,5,139,0,51*,46.33,2,0,2.50,2.50,2/5,AUS,W
M S Wade*,Matthew Wade,26/12/1987,2011-,92,68,1202,0,80*,26.13,0,0,-,-,,AUS,W
D A Warner,David Warner,27/10/1986,2009-2024,110,110,3277,1,100,33.44,0,0,-,-,,AUS,W
S R Watson,Shane Watson,17/06/1981,2006-2016,58,56,1462,1,124,29.24,48,1,24.73,7.66,4/15,AUS,W
C L White,Cameron White,18/08/1983,2007-2014,47,44,984,0,85,32.80,1,0,51.00,7.29,1/11,AUS,W
J D Wildermuth,Jack Wildermuth,01/09/1993,2018-2018,2,1,1,0,1,0.00,1,0,32.00,10.67,1/16,AUS,W
A Zampa*,Adam Zampa,31/03/1992,2016-,95,22,68,0,13,5.67,117,3,21.01,7.21,5/19,AUS,W
Total Players = 111,,,,,,,,,,,,,,,AUS,W
